throughput,upload_artificial,,
419.45,100,62.7933,5G
419.42,100,60.8947,5G
429.94,100,61.8112,5G
419.42,100,60.8128,5G
419.43,100,61.9174,5G
429.93,100,60.8191,5G
419.42,100,59.6069,5G
440.42,100,60.3367,5G
419.42,100,60.8119,5G
429.94,100,60.7498,5G
429.90,100,61.0128,5G
419.43,100,60.7022,5G
460.54,100,60.1060,5G
419.43,100,57.5170,5G
377.50,100,57.1980,5G
387.98,100,59.1520,5G
377.49,100,65.3970,5G
398.46,100,53.6140,5G
366.99,100,58.8430,5G
408.96,100,58.6560,5G
387.97,100,58.6600,5G
367.00,100,62.5810,5G
314.57,100,57.5110,5G
356.52,100,57.5110,5G
387.98,100,55.5450,5G
387.96,100,62.1080,5G
356.52,100,76.4570,5G
367.01,100,54.1330,5G
398.44,100,62.4080,5G
356.53,100,54.4740,5G
398.46,100,57.5990,5G
366.99,100,56.5170,5G
387.99,100,57.4690,5G
367.00,100,66.2530,5G
398.46,100,60.9330,5G
398.46,100,61.8270,5G
398.45,100,61.2100,5G
387.97,100,62.8940,5G
304.09,100,62.9440,5G
335.55,100,62.1350,5G
377.49,100,58.2590,5G
366.99,100,62.6960,5G
356.52,100,61.9670,5G
356.48,100,68.9940,5G
346.06,100,66.0730,5G
324.96,100,63.8900,5G
335.64,100,67.8120,5G
367.01,100,68.2060,5G
367.00,100,69.2260,5G
356.51,100,62.3970,5G
377.49,100,61.7730,5G
335.54,100,62.5520,5G
404.88,100,62.6985,5G
367.01,100,66.4970,5G
408.94,100,76.9050,5G
377.49,100,62.2650,5G
367.01,100,58.4710,5G
367.00,100,63.0780,5G
387.98,100,54.8300,5G
398.47,100,53.6820,5G
387.97,100,61.6420,5G
367.00,100,65.2660,5G
398.47,100,61.6490,5G
377.46,100,64.1660,5G
408.96,100,54.2180,5G
408.96,100,57.8630,5G
377.48,100,56.2950,5G
398.46,100,51.9770,5G
408.95,100,61.2650,5G
366.98,100,59.2450,5G
398.48,100,64.5140,5G
367.00,100,65.8260,5G
367.00,100,62.1170,5G
367.01,100,71.0500,5G
377.48,100,65.3020,5G
387.96,100,62.8830,5G
408.95,100,72.9970,5G
387.99,100,65.1470,5G
387.95,100,63.8470,5G
408.97,100,59.7660,5G
398.47,100,60.5410,5G
387.95,100,63.1660,5G
387.98,100,62.4130,5G
387.95,100,62.8330,5G
398.47,100,60.2400,5G
398.48,100,62.1430,5G
377.49,100,65.9660,5G
377.48,100,62.3800,5G
419.41,100,59.2030,5G
398.47,100,59.7560,5G
387.99,100,61.1390,5G
366.99,100,60.7400,5G
348.94,100,67.1875,5G
398.47,100,61.5600,5G
398.46,100,60.8010,5G
408.92,100,61.6900,5G
398.47,100,60.8680,5G
408.97,100,59.0250,5G
377.33,100,57.4620,5G
398.60,100,60.4520,5G
398.47,100,62.4530,5G
367.02,100,63.2010,5G
408.94,100,58.2190,5G
419.43,100,59.7070,5G
356.47,100,71.9320,5G
377.49,100,66.9950,5G
388.00,100,68.9360,5G
377.48,100,59.6340,5G
398.46,100,60.3170,5G
398.48,100,61.1420,5G
408.93,100,64.7350,5G
408.94,100,58.0700,5G
408.93,100,59.9440,5G
398.46,100,60.8860,5G
408.94,100,64.5270,5G
408.95,100,56.0180,5G
387.98,100,57.9290,5G
408.96,100,56.5310,5G
408.94,100,64.4120,5G
387.95,100,57.1050,5G
388.00,100,58.3630,5G
408.92,100,53.9740,5G
388.01,100,61.7050,5G
366.98,100,58.8340,5G
408.94,100,56.6790,5G
429.94,100,57.9070,5G
398.46,100,62.4480,5G
408.91,100,55.3940,5G
367.00,100,65.7210,5G
346.06,100,55.2520,5G
335.51,100,74.1580,5G
293.61,100,61.5600,5G
280.84,100,61.9770,5G
786.75,100,72.7805,5G
744.45,100,68.1950,5G
753.18,100,62.5125,5G
735.75,100,67.2960,5G
671.12,100,62.6320,5G
660.57,100,58.7455,5G
723.54,100,59.7275,5G
734.00,100,59.4710,5G
723.37,100,56.5315,5G
702.64,100,64.0035,5G
723.47,100,66.7420,5G
681.68,100,56.1695,5G
608.17,100,81.1475,5G
534.77,100,64.3860,5G
576.72,100,61.1495,5G
576.71,100,59.2740,5G
608.02,100,59.0205,5G
555.89,100,63.2925,5G
587.22,100,55.5960,5G
566.22,100,51.3685,5G
576.71,100,51.8635,5G
597.68,100,57.6065,5G
639.61,100,59.9055,5G
576.74,100,61.6795,5G
566.23,100,55.9325,5G
608.17,100,60.4810,5G
608.18,100,62.3885,5G
608.17,100,57.7165,5G
608.18,100,63.5780,5G
629.07,100,64.1235,5G
629.21,100,64.0740,5G
639.64,100,67.1725,5G
629.16,100,61.8100,5G
660.57,100,60.1620,5G
744.28,100,63.1565,5G
818.18,100,56.5460,5G
828.06,100,55.5065,5G
692.28,100,58.2430,5G
650.13,100,56.6290,5G
597.52,100,63.3355,5G
544.70,100,64.1840,5G
671.08,100,63.0060,5G
713.03,100,75.3540,5G
692.07,100,57.4595,5G
765.46,100,61.6440,5G
723.52,100,60.3105,5G
734.01,100,65.5980,5G
744.49,100,77.8460,5G
765.46,100,82.2200,5G
723.51,100,58.7270,5G
744.50,100,65.6275,5G
713.02,100,65.4000,5G
754.98,100,69.8505,5G
744.50,100,66.6715,5G
733.99,100,69.1235,5G
744.50,100,64.3515,5G
713.03,100,65.6665,5G
723.51,100,60.2830,5G
775.95,100,65.4865,5G
754.99,100,70.7060,5G
744.47,100,66.5095,5G
700.01,100,69.3040,5G
757.73,100,65.1730,5G
754.97,100,65.9375,5G
723.52,100,65.0520,5G
